,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration_IN_Hours,Duration_IN_Min,price_per_min
40,Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,18:10,1 stop,No info,9646,11,5,4.13642960812772
41,Air India,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,06:45,15:15,1 stop,No info,8714,8,0,3.30502639430801
42,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00 19 May,1 stop,In-flight meal not included,12373,22,5,6.42528085347127
43,Air Asia,6/05/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,non-stop,No info,3383,2,5,2.2169671888856
44,Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,1 stop,No info,13062,12,0,3.30730362884704
45,SpiceJet,24/03/2019,Banglore,New Delhi,BLR ? DEL,05:45,08:35,non-stop,No check-in baggage included,3527,2,0,2.04139495321803
46,IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,non-stop,No info,3943,2,0,1.82602079634796
47,Air India,3/05/2019,Chennai,Kolkata,MAA ? CCU,11:40,13:55,non-stop,No info,4667,2,5,1.60702806942361
48,Air India,15/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,11:05 16 May,1 stop,No info,6117,16,5,9.46542422756253
49,Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 28 Jun,2 stops,In-flight meal not included,11150,19,5,6.16143497757848
50,Jet Airways,9/03/2019,Delhi,Cochin,DEL ? COK,11:00,14:15,non-stop,In-flight meal not included,7202,3,5,1.54123854484865
51,Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,10:55 02 May,1 stop,No info,12121,25,0,7.42512993977395
52,IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,22:20,01:10 28 Mar,non-stop,No info,4377,2,0,1.64496230294722
53,IndiGo,18/06/2019,Banglore,Delhi,BLR ? DEL,21:15,00:15 19 Jun,non-stop,No info,3943,3,0,2.73903119452194
54,Air Asia,3/04/2019,Banglore,Delhi,BLR ? DEL,23:55,02:45 04 Apr,non-stop,No info,4483,2,0,1.60606736560339
55,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,12:00 25 Mar,1 stop,No info,14231,16,5,4.06858267163235
56,Air India,01/03/2019,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,08:50,23:55,2 stops,No info,17345,15,5,3.13058518304987
57,Vistara,6/03/2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,non-stop,No info,7414,2,5,1.0115996762881
58,Multiple carriers,6/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 07 May,1 stop,No info,8073,6,0,2.67558528428094
59,Vistara,6/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,15:40,16:45 07 Mar,1 stop,No info,12395,25,5,7.2851956434046
60,Air India,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,1 stop,No info,8366,12,5,5.19961749940234
61,Air India,3/04/2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,09:25 04 Apr,1 stop,No info,5117,27,0,18.9955051788157
62,Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:00,1 stop,No info,12524,10,5,2.8984350047908
63,IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:30 16 May,1 stop,No info,7191,10,0,5.00625782227785
64,Vistara,24/05/2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,non-stop,No info,3687,2,5,2.03417412530513
65,IndiGo,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,1 stop,No info,5894,10,5,6.15880556498134
66,Vistara,24/04/2019,Banglore,Delhi,BLR ? DEL,09:45,12:35,non-stop,No info,5403,2,0,1.33259300388673
67,Air India,6/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,non-stop,No info,3625,1,0,0.993103448275862
68,Air India,21/05/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,2 stops,No info,10861,13,0,4.3089954884449
69,IndiGo,12/03/2019,Chennai,Kolkata,MAA ? CCU,13:20,15:35,non-stop,No info,6297,2,5,1.19104335397808
70,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,non-stop,No info,5678,1,5,0.686861570975696
71,Jet Airways,09/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,08:15 13 Mar,1 stop,In-flight meal not included,9134,26,0,10.2474271950952
72,Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,1 stop,In-flight meal not included,10791,7,0,2.33527939949958
73,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,12:35 25 Jun,2 stops,No info,12819,13,0,3.65083079803417
74,IndiGo,21/03/2019,Delhi,Cochin,DEL ? BLR ? COK,05:05,10:05,1 stop,No info,6893,5,0,2.61134484259394
75,Vistara,09/03/2019,Banglore,New Delhi,BLR ? DEL,09:50,12:35,non-stop,No info,7240,2,5,1.03591160220994
76,GoAir,3/04/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,non-stop,No info,3898,2,0,1.84710107747563
77,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM ? HYD,06:25,07:55,non-stop,No info,4049,1,0,0.889108421832551
78,Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,12:35 16 Jun,1 stop,In-flight meal not included,10262,19,5,6.69460144221399
79,SpiceJet,21/03/2019,Chennai,Kolkata,MAA ? CCU,08:20,10:35,non-stop,No check-in baggage included,3332,2,5,2.25090036014406
80,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 10 Jun,1 stop,In-flight meal not included,10844,14,0,4.64773146440428
81,Jet Airways,24/03/2019,Banglore,New Delhi,BLR ? DEL,19:55,22:35,non-stop,No info,7229,2,0,0.995988380135565
82,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40 07 May,1 stop,No info,13941,22,0,5.68108457069077
83,IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,21:00,1 stop,No info,5894,9,5,5.54801493043773
84,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,1 stop,No info,10197,10,0,3.53045013239188
85,Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,11:25 07 Mar,1 stop,In-flight meal not included,13712,21,0,5.51341890315053
86,IndiGo,24/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,1 stop,No info,5636,5,5,3.24698367636622
87,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25 07 Jun,2 stops,No info,13014,18,5,5.00230520977409
88,Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,1 stop,In-flight meal not included,7064,12,0,6.11551528878822
89,Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,14:25 25 May,1 stop,In-flight meal not included,10703,18,0,6.05437727739886
90,Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,1 stop,No info,9646,9,5,3.3900062201949
91,Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,13:20,1 stop,No info,17057,11,5,2.33921557131969
92,Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,10:25 13 Mar,1 stop,No info,13817,17,0,4.42932619237172
93,Air India,6/03/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,2 stops,No info,13748,13,0,3.40413151003782
94,Air India,21/04/2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,non-stop,No info,4880,2,5,1.53688524590164
95,IndiGo,21/06/2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,non-stop,No info,3540,2,5,2.11864406779661
96,SpiceJet,15/05/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,non-stop,No check-in baggage included,3257,2,0,2.21062327295057
97,Jet Airways,3/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,non-stop,In-flight meal not included,6478,3,0,1.66718122877431
98,Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,non-stop,No info,8040,1,5,0.485074626865672
99,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,12:35 13 Jun,2 stops,No info,14300,16,5,4.04895104895105
100,Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,1 stop,No info,14781,12,0,2.92267099654962
101,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 10 Jun,1 stop,No info,14939,12,5,2.9118414887208
102,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 25 Jun,1 stop,In-flight meal not included,10262,7,0,2.45566166439291
103,Air India,12/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,14:35 13 May,1 stop,No info,6528,24,0,13.2352941176471
104,Air India,1/05/2019,Banglore,Delhi,BLR ? DEL,06:10,08:55,non-stop,No info,6121,2,5,1.22528998529652
105,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25 19 May,2 stops,In-flight meal not included,13029,8,5,2.23347916186968
106,Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,18:50,1 stop,No info,11421,7,0,2.20646178092987
107,Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,04:45,19:15,1 stop,No info,7574,14,0,6.6543438077634
108,Air India,9/05/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15 10 May,2 stops,No info,11596,30,0,9.31355639875819
109,Jet Airways,24/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 25 May,2 stops,No info,15129,19,5,4.54094784850288
110,Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,05:05 16 Mar,1 stop,No info,13555,15,0,3.98376982663224
111,IndiGo,12/04/2019,Banglore,Delhi,BLR ? DEL,18:55,21:50,non-stop,No info,5780,2,5,1.29757785467128
112,Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05 13 May,1 stop,No info,9397,12,5,4.62913695860381
113,Jet Airways,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,04:25 07 Mar,1 stop,No info,17024,10,0,2.11466165413534
114,GoAir,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,1 stop,No info,5281,5,5,3.46525279303162
115,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,1 stop,No info,10348,15,5,5.24739080015462
116,Air India,6/03/2019,Delhi,Cochin,DEL ? MAA ? COK,17:20,09:25 07 Mar,1 stop,No info,12677,16,5,4.56732665457127
117,Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,15:25,01:35 04 Mar,1 stop,No info,15147,10,0,2.3767082590612
118,Vistara,12/06/2019,Banglore,Delhi,BLR ? DEL,07:00,09:40,non-stop,No info,4668,2,0,1.54241645244216
119,Jet Airways,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,1 stop,No info,15554,11,5,2.56525652565257
120,SpiceJet,9/04/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,non-stop,No info,3971,2,0,1.81314530345001
121,Air India,3/05/2019,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,non-stop,No info,3100,1,5,1.25806451612903
122,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 07 May,1 stop,In-flight meal not included,9663,14,5,5.24681775846011
123,Air India,1/03/2019,Delhi,Cochin,DEL ? BOM ? COK,23:00,19:15 02 Mar,1 stop,No info,27430,20,5,2.63580021873861
124,IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,non-stop,No info,3540,2,5,2.11864406779661
125,Air India,21/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,11:10 22 May,2 stops,No info,10676,23,0,7.75571375046834
126,Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,08:15 13 Jun,1 stop,No info,13044,18,0,4.96780128794848
127,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 07 May,1 stop,No info,14388,16,0,4.00333611342786
128,IndiGo,24/06/2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,non-stop,No info,3943,2,0,1.82602079634796
129,IndiGo,3/06/2019,Chennai,Kolkata,MAA ? CCU,14:45,17:05,non-stop,No info,3597,2,0,2.00166805671393
130,Air India,21/03/2019,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,19:50,1 stop,No info,5932,8,0,4.85502360080917
131,Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,04:25 16 Jun,1 stop,In-flight meal not included,10262,16,5,5.64217501461703
132,Vistara,12/05/2019,Delhi,Cochin,DEL ? COK,14:40,17:50,non-stop,No info,6216,3,0,1.73745173745174
133,IndiGo,15/06/2019,Kolkata,Banglore,CCU ? BLR,20:25,23:10,non-stop,No info,4804,2,5,1.56119900083264
134,Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,01:30 22 May,1 stop,No info,14067,14,0,3.5828534868842
135,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,19:00 19 May,2 stops,No info,15129,23,0,5.47293277810827
136,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,04:25 07 Jun,2 stops,No info,13376,21,0,5.65191387559809
137,Air India,27/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 28 Jun,2 stops,No info,10441,21,5,7.26941863806149
138,Jet Airways,24/05/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,non-stop,In-flight meal not included,4030,2,5,1.86104218362283
139,Jet Airways,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,18:50,1 stop,No info,17024,10,0,2.11466165413534
140,Multiple carriers,9/04/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:30 10 Apr,1 stop,No info,13017,8,0,2.21249135745564
141,GoAir,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,23:30,07:45 07 Jun,1 stop,No info,6686,8,5,4.35237810349985
142,IndiGo,15/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,1 stop,No info,5636,5,5,3.24698367636622
143,IndiGo,9/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,1 stop,No info,6442,8,5,4.51723067370382
144,Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:05,00:55 22 May,1 stop,No info,9486,11,0,4.17457305502846
145,Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,23:35 22 May,1 stop,In-flight meal not included,10844,27,5,8.99114717816304
146,Jet Airways,3/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,04:25 04 Jun,2 stops,In-flight meal not included,15318,8,5,1.89972581276929
147,Air India,3/04/2019,Delhi,Cochin,DEL ? MAA ? COK,12:30,09:25 04 Apr,1 stop,No info,5117,20,5,14.1293726793043
148,IndiGo,24/06/2019,Delhi,Cochin,DEL ? BLR ? COK,15:10,20:00,1 stop,No info,6147,4,0,2.34260614934114
149,Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,1 stop,No info,7005,8,0,4.11134903640257
150,SpiceJet,3/04/2019,Kolkata,Banglore,CCU ? BLR,22:20,00:40 04 Apr,non-stop,No info,3873,2,0,1.85902401239349
151,Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,18:50 22 Mar,2 stops,In-flight meal not included,9270,24,5,9.35275080906149
152,GoAir,27/06/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,non-stop,No info,3898,2,0,1.84710107747563
153,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,1 stop,No info,14781,12,0,2.92267099654962
154,Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 25 May,1 stop,In-flight meal not included,8586,12,5,5.06638714185884
155,Air India,9/05/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,07:55 10 May,2 stops,No info,10697,23,5,7.7685332336169
156,Jet Airways,27/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,12:35 28 Jun,2 stops,No info,14300,16,5,4.04895104895105
157,IndiGo,03/03/2019,Banglore,New Delhi,BLR ? DEL,18:55,21:45,non-stop,No info,8855,2,0,0.813099943534726
158,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,18:15 13 May,1 stop,In-flight meal not included,10844,25,5,8.327185540391
159,Jet Airways,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,04:25 07 Mar,1 stop,No info,17024,26,0,5.49812030075188
160,Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 02 May,1 stop,In-flight meal not included,9314,28,0,10.8224178655787
161,IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,00:40,03:25,non-stop,No info,4777,2,5,1.5700230270044
162,Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,13:15 10 Jun,1 stop,No info,7662,25,5,11.7854346123727
163,IndiGo,9/05/2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,1 stop,No info,6442,9,0,5.02949394597951
164,SpiceJet,12/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,1 stop,No info,5264,4,0,2.7355623100304
165,Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,04:25 28 May,1 stop,In-flight meal not included,12898,15,5,4.20995503178787
166,Air India,3/03/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,non-stop,No info,6092,1,0,0.590938936309915
167,SpiceJet,21/05/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,non-stop,No info,3311,2,0,2.17456961643008
168,Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 28 Mar,1 stop,In-flight meal not included,6540,9,0,4.95412844036697
169,IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,non-stop,No info,3419,2,5,2.19362386662767
170,Jet Airways,3/04/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35 04 Apr,1 stop,In-flight meal not included,5177,22,5,15.3563840061812
171,Air India,18/04/2019,Delhi,Cochin,DEL ? COK,18:05,21:10,non-stop,No info,8246,3,5,1.3461072034926
172,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,21:05,1 stop,No info,14676,11,0,2.6982829108749
173,Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,1 stop,No info,13587,9,0,2.38463236917642
174,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 07 May,1 stop,In-flight meal not included,9663,12,0,4.47066128531512
175,Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,10:05 13 Jun,1 stop,No info,13044,17,5,4.7148114075437
176,IndiGo,3/04/2019,Delhi,Cochin,DEL ? BOM ? COK,20:25,01:30 04 Apr,1 stop,No info,5073,5,5,3.6073329390893
177,Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50 22 May,1 stop,No info,9345,25,0,9.63081861958266
178,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,10:05 07 May,1 stop,In-flight meal not included,9663,20,0,7.45110214219187
179,Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,1 stop,No info,14277,13,0,3.27799957974364
180,Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,04:25 02 Jun,1 stop,In-flight meal not included,10262,18,5,6.34379263301501
181,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,non-stop,No info,5678,1,0,0.634026065516027
182,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,01:30 16 May,1 stop,No info,13727,9,0,2.36031179427406
183,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 07 May,1 stop,In-flight meal not included,9663,16,0,5.96088171375349
184,IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,14:45,17:05,non-stop,No info,3858,2,0,1.86625194401244
185,SpiceJet,24/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,1 stop,No info,4812,4,0,2.9925187032419
186,IndiGo,27/06/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 28 Jun,1 stop,No info,5775,5,5,3.16883116883117
187,Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,09:45 07 Jun,1 stop,In-flight meal not included,10539,24,0,8.19812126387703
188,IndiGo,3/06/2019,Kolkata,Banglore,CCU ? BLR,15:30,18:05,non-stop,No info,4804,2,5,1.56119900083264
